id,nombre,domicilio,telefono,email,web,tipo,calle,altura,direccion,long,lat,geometry
4,562 Nogaro,"Roca, Julio A., Presidente Diagonal Sur Av. 562",4331-0091,reservas@562nogarohotel.com,,4 Estrellas,"Roca, Julio A., Presidente Diagonal Sur Av.",562,"Roca, Julio A., Presidente Diagonal Sur Av. 562",-58.37421350241789,-34.60998424490044,POINT (-58.37421350241789 -34.60998424490044)
5,725 Continental Hotel,"Saenz Peña, Roque, Pres. Diagonal Norte Av. 725",4131-8000,reservas@725continental.com,,5 Estrellas,"Saenz Peña, Roque, Pres. Diagonal Norte Av.",725,"Saenz Peña, Roque, Pres. Diagonal Norte Av. 725",-58.376795794296825,-34.60620108225303,POINT (-58.376795794296825 -34.60620108225303)
7,Abc,Santiago Del Estero 1640,4304-2706,bettyyvos@gmail.com,,Hospedaje A,Santiago Del Estero,1640,Santiago Del Estero 1640,-58.384283620240005,-34.62741804583529,POINT (-58.384283620240005 -34.62741804583529)
10,Alba,"Garay, Juan De Av. 1381",4304-2935 / 4306-4304,"albahoteleria@yahoo.com.ar,gaetos@hotmail.com",,Hospedaje A,"Garay, Juan De Av.",1381,"Garay, Juan De Av. 1381",-58.38545935964835,-34.62699566250406,POINT (-58.38545935964835 -34.62699566250406)
11,Alcazar,De Mayo Av. 935,4345 4308,info@hotelalcazar.com.ar,,Hospedaje B,De Mayo Av.,935,De Mayo Av. 935,-58.379732802017415,-34.60888014122817,POINT (-58.379732802017415 -34.60888014122817)
14,Algodon Mansion,Montevideo 1647,3530-7777,reservations@algodonmansion.com,,Registro de Prestadores-Boutique,Montevideo,1647,Montevideo 1647,-58.38742174333942,-34.59127516741013,POINT (-58.38742174333942 -34.59127516741013)
17,Alvear Art Hotel,Suipacha 1036,4114-3400,"info@alvearart.com,recepcion.aah@alvear.com.ar",,Registro de Prestadores,Suipacha,1036,Suipacha 1036,-58.379998702116374,-34.59605669981444,POINT (-58.379998702116374 -34.59605669981444)
18,Alvear Icon Hotel,"Paine, Aime 1110",4114-0900,reservationsicon@alvear.com.ar,,Registro de Prestadores,"Paine, Aime",1110,"Paine, Aime 1110",-58.361964319386644,-34.610529547724155,POINT (-58.361964319386644 -34.610529547724155)
20,Amérian Buenos Aires Park Hotel,Reconquista 699,5171-6500,"reservas@amerian.com,reservasbph@amerian.com",,4 Estrellas,Reconquista,699,Reconquista 699,-58.37260534218746,-34.599705005768996,POINT (-58.37260534218746 -34.599705005768996)
21,América del Sur Hostel,Chacabuco 718,4300-5525,baires@americahostel.com.ar,,Registro de Prestadores,Chacabuco,718,Chacabuco 718,-58.37590646801607,-34.61642326193004,POINT (-58.37590646801607 -34.61642326193004)
22,Americano Hotel,Rodriguez Peña 265,4382-4223,,,2 Estrellas,Rodriguez Peña,265,Rodriguez Peña 265,-58.39070847837388,-34.60594622527869,POINT (-58.39070847837388 -34.60594622527869)
29,Argenta Tower Retiro Hotel,Juncal 868,4325-4100/ 49792722,reservas@argenta-tower.com.ar,,4 Estrellas,Juncal,868,Juncal 868,-58.379582841439515,-34.59292273811405,POINT (-58.379582841439515 -34.59292273811405)
30,Argentina Tango Hotel,Suipacha 545,5630-4677,,,Apart 2 Estrellas,Suipacha,545,Suipacha 545,-58.379503859598785,-34.6019198263607,POINT (-58.379503859598785 -34.6019198263607)
32,Art Factory Hostel,Piedras 545,4343-1463,info@artfactoryba.com.ar,,Registro de Prestadores,Piedras,545,Piedras 545,-58.37758618834291,-34.61448656850412,POINT (-58.37758618834291 -34.61448656850412)
36,Astoria,De Mayo Av. 916,4334-9061 / 5,info@hotel-astoria.com.ar,,2 Estrellas,De Mayo Av.,916,De Mayo Av. 916,-58.379435047863595,-34.608969972570335,POINT (-58.379435047863595 -34.608969972570335)
38,Atlas Tower,Corrientes Av. 1778,5217-9371,reservas@atlastower.com.ar,,3 Estrellas,Corrientes Av.,1778,Corrientes Av. 1778,-58.391933900756776,-34.60446464373401,POINT (-58.391933900756776 -34.60446464373401)
39,Avenida Petit Hotel,De Mayo Av. 1347,4381-2428 / 7831,avenidapetit@gmail.com,,1 Estrella,De Mayo Av.,1347,De Mayo Av. 1347,-58.385519667951186,-34.60927709787273,POINT (-58.385519667951186 -34.60927709787273)
42,Ba Stop Hostel,Rivadavia 1194,6091-2156,info@bastop.com,,Registro de Prestadores,Rivadavia,1194,Rivadavia 1194,-58.38333429726897,-34.608619811431474,POINT (-58.38333429726897 -34.608619811431474)
43,Baccara,Salta 952,4308-8173,,,Hospedaje B,Salta,952,Salta 952,-58.382915298575874,-34.6191826212403,POINT (-58.382915298575874 -34.6191826212403)
48,Bisonte Libertad,Libertad 902,3723-2520,reservas@bisontelibertad.com,,4 Estrellas,Libertad,902,Libertad 902,-58.38417010866527,-34.59804689647918,POINT (-58.38417010866527 -34.59804689647918)
49,Bisonte Palace Hotel,"Alvear, Marcelo T. De 902",4328-4751,reservas@bisontepalace.com,,4 Estrellas,"Alvear, Marcelo T. De",902,"Alvear, Marcelo T. De 902",-58.379946178530524,-34.59657101073534,POINT (-58.379946178530524 -34.59657101073534)
52,Bohemia Buenos Aires Hotel,Peru 845,4115-2561/2566,info@bohemiabuenosaires.com.ar,,1 Estrella,Peru,845,Peru 845,-58.374477971264774,-34.617825046649635,POINT (-58.374477971264774 -34.617825046649635)
53,Brisas del Mar,Humberto 1° 826,4306-6040,info@hotelbrisasdelmar.com.ar,,Hospedaje B,Humberto 1°,826,Humberto 1° 826,-58.37761009958123,-34.62093421298706,POINT (-58.37761009958123 -34.62093421298706)
54,Bristol Hotel,Cerrito 286,5252-6400,reservas@hotelbristol.com.ar,,4 Estrellas,Cerrito,286,Cerrito 286,-58.382198378617424,-34.605199884054976,POINT (-58.382198378617424 -34.605199884054976)
55,Broadway Hotel & Suites,Corrientes Av. 1173,4378-9250,ventas@broadway-suites.com.ar,,Apart 1 Estrella,Corrientes Av.,1173,Corrientes Av. 1173,-58.38330283825713,-34.60374702703923,POINT (-58.38330283825713 -34.60374702703923)
61,Carles Hotel,Juncal 798,5196-8200,info@carleshotelbuenosaires.com,,Registro de Prestadores,Juncal,798,Juncal 798,-58.37851391964254,-34.592939469310444,POINT (-58.37851391964254 -34.592939469310444)
62,Carsson,Viamonte 650,4131-3800,info@hotelcarsson.com.ar,,4 Estrellas,Viamonte,650,Viamonte 650,-58.37607148751639,-34.59996533252279,POINT (-58.37607148751639 -34.59996533252279)
63,Casacalma Hotel,Suipacha 1015,4312-5000,info@casacalmahotel.com,,Registro de Prestadores-Boutique,Suipacha,1015,Suipacha 1015,-58.37985310126982,-34.5962984637329,POINT (-58.37985310126982 -34.5962984637329)
66,Cassa Lepage Art Hotel,Bolivar 365,5275-0594 / 0595 / 0596,info@cassalepage.com,,Registro de Prestadores,Bolivar,365,Bolivar 365,-58.37341366078743,-34.61214018329661,POINT (-58.37341366078743 -34.61214018329661)
68,Castilla,"Mitre, Bartolome 1548",4338-4586,,,Hospedaje B,"Mitre, Bartolome",1548,"Mitre, Bartolome 1548",-58.38848702001005,-34.60781459471836,POINT (-58.38848702001005 -34.60781459471836)
69,Central (Alsina 1693),"Alsina, Adolfo 1693",4304-3783,,,Hospedaje B,"Alsina, Adolfo",1693,"Alsina, Adolfo 1693",-58.39025186569626,-34.61132422411395,POINT (-58.39025186569626 -34.61132422411395)
70,Central (Brasil 1327),Brasil 1327,4304-3783,,,Hospedaje A,Brasil,1327,Brasil 1327,-58.38472688976728,-34.62819385642605,POINT (-58.38472688976728 -34.62819385642605)
71,Central Córdoba,San Martin 1021,4311-1175 / 4312-8524,reservas@hotelcentralcordoba.com.ar,,2 Estrellas,San Martin,1021,San Martin 1021,-58.37427104924475,-34.596042999535264,POINT (-58.37427104924475 -34.596042999535264)
72,Centuria,Suipacha 30,4342-5575,recepcion@hotelcenturia.com,,4 Estrellas,Suipacha,30,Suipacha 30,-58.37930952008193,-34.6079577278048,POINT (-58.37930952008193 -34.6079577278048)
73,Cevallos Palace Hotel,"Cevallos, Virrey 261",4372-7636,hotelcevallos@hotmail.com,,1 Estrella,"Cevallos, Virrey",261,"Cevallos, Virrey 261",-58.38900162211567,-34.61199923334886,POINT (-58.38900162211567 -34.61199923334886)
74,Cibeles,"Cevallos, Virrey 264",4373-1444,hotelcibeles@hotmail.com.ar,,Hospedaje A,"Cevallos, Virrey",264,"Cevallos, Virrey 264",-58.388868952933926,-34.61202290088415,POINT (-58.388868952933926 -34.61202290088415)
