id,nombre,recorrido,atractivos,direccion,barrio,comuna,geometry
1,00. Parada 0 Diagonal Norte,Recorrido Rojo,Cabildo de Buenos Aires - Obelisco - Casa Rosada - Catedral Metropolitana - Galería Güemes - Museo del Bicentenario,"Saenz Peña, Roque, Pres. Diagonal Norte Av. 728, entre Maipú y Tte. Gral Juan D. Perón",San Nicolas,Comuna 1,POINT (-58.376813001908765 -34.60638707326217)
2,00. Recoleta,Recorrido Amarillo,Floralis Genérica - Centro Cultural Recoleta - Cementerio de la Recoleta - Basílica Nuestra Señora del Pilar - Museo Nacional de Bellas Artes,"Quintana, Manuel, Pres. Av. 591, entre Pres. Roberto M. Ortiz y Ayacucho",Recoleta,Comuna 2,POINT (-58.390608706375325 -34.587729006796415)
3,01. 9 de Julio - Teatro Colón,Recorrido Amarillo,Teatro Colón - Galerías Pacífico - Obelisco - Plaza San Martín - Teatro Cervantes,"Cerrito 890, entre Av Córdoba y Paraguay",Retiro,Comuna 1,POINT (-58.38268524058373 -34.598216589075214)
4,01. Congreso de la Nación,Recorrido Rojo,Pasaje Rivarola - Palacio Barolo - Monumento a los Dos Congresos - Hotel Castelar - Congreso de la Nación Argentina,Rivadavia Av. 1543,San Nicolas,Comuna 1,POINT (-58.388775923975345 -34.608951921004255)
5,04. Av de Mayo,Recorrido Amarillo,Manzana de las Luces - Teatro Avenida - Museo del Bicentenario - Casa Rosada - Café Tortoni - Cabildo de Buenos Aires,"De Mayo Av. 839, entre Piedras y Tacuarí",Monserrat,Comuna 1,POINT (-58.37844898363984 -34.608743523126066)
6,02. Paseo de la Historieta,Recorrido Rojo,Museo MACBA - Mercado de San Telmo - Plaza Dorrego - Iglesia San Pedro Telmo - Museo MAMBA,"Independencia Av. 331, entre Balcarce y Defensa",San Telmo,Comuna 1,POINT (-58.370572047214324 -34.61707690010189)
7,05. Congreso de la Nación,Recorrido Amarillo,Pasaje Rivarola - Palacio Barolo - Monumento a los Dos Congresos - Hotel Castelar - Congreso de la Nación Argentina,"Rivadavia Av. 1573, entre Paraná y Montevideo",San Nicolas,Comuna 1,POINT (-58.38885668731731 -34.60895674033764)
8,03. San Telmo - Plaza Dorrego,Recorrido Rojo,Museo MAMBA - Plaza Dorrego - Iglesia San Pedro Telmo - Museo MACBA - Mercado de San Telmo,"San Juan Av. 350, entre Balcarce y Defensa",San Telmo,Comuna 1,POINT (-58.370527511975915 -34.62189337955762)
9,06. Casco Histórico - Buenos Aires Museo,Recorrido Amarillo,Escultura de Mafalda - Basílica de San Francisco - Fragata Sarmiento - Plaza de Mayo - Puente de la Mujer,"Belgrano Av. 380, entre 5 de Julio y Defensa",Monserrat,Comuna 1,POINT (-58.37169730984708 -34.6125492954896)
10,04. Usina del Arte,Recorrido Rojo,Estadio Boca Juniors - Caminito - Museo Quinquela Martín - Museo del Cine - La Torre del Fantasma,"Caffarena, Agustin R. 49, entre Av Don Pedro de Mendoza y Caboto",La Boca,Comuna 4,POINT (-58.3565842819939 -34.62915917120158)
11,05. La Bombonera,Recorrido Rojo,Caminito - Teatro de la Ribera - Puente Transbordador - Museo Quinquela Martín,"Brandsen 805, entre Iberlucea y Juan de Dios Filiberto",La Boca,Comuna 4,POINT (-58.36424891322227 -34.63642668215644)
12,07. San Telmo - Museo de Arte Moderno,Recorrido Amarillo,Museo MACBA - Plaza Dorrego - Iglesia San Pedro Telmo - Mercado de San Telmo - Museo MAMBA,"San Juan Av. 328, entre Balcarce y Defensa",San Telmo,Comuna 1,POINT (-58.37057367203158 -34.621893414654444)
13,06. Caminito - La Boca,Recorrido Rojo,Puente Transbordador - Usina del Arte - Teatro de la Ribera - Estadio Boca Juniors - Museo Quinquela Martín,"Don Pedro De Mendoza Av. 2163, entre Benito Quinquela Martín y Alfredo Palacios",La Boca,Comuna 4,POINT (-58.36057650736415 -34.64122684178004)
14,08. La Bombonera,Recorrido Amarillo,Caminito - Museo Quinquela Martín - Puente Transbordador - Teatro de la Ribera,"Brandsen 805, entre Iberlucea y Juan de Dios Filiberto",La Boca,Comuna 4,POINT (-58.36449406103985 -34.63652824362294)
15,09. Caminito - Colón Fábrica,Recorrido Amarillo,Estadio Boca Juniors - Usina del Arte - Puente Transbordador - Museo Quinquela Martín - Teatro de la Ribera,"Don Pedro De Mendoza Av. 1959, entre Iberlucea y Rocha",La Boca,Comuna 4,POINT (-58.36181006455581 -34.63987517878851)
16,07. Reserva Ecológica (alternativa Sáb-Dom),Recorrido Rojo,Fragata Sarmiento - Paseo de la Gloria - Parque Micaela Bastidas - Monumento al Tango - Puente de la Mujer,"Lanteri Julieta 1750, (entre Rosario Vera Peñaloza y Lola Mora)",Puerto Madero,Comuna 1,POINT (-58.35946960727806 -34.61808252557641)
17,07. Reserva Ecológica (principal),Recorrido Rojo,Monumento al Tango - Parque Micaela Bastidas - Paseo de la Gloria - Puente de la Mujer - Fragata Sarmiento,"Achaval Rodriguez, T., Dr. Av. 1500",Puerto Madero,Comuna 1,POINT (-58.356996687129474 -34.616277328065124)
18,10. Parque Lezama,Recorrido Amarillo,"Monumento a Pedro de Mendoza - Iglesia Ortodoxa Rusa - Anfiteatro, mirador y fuente del Parque Lezama - Bares notables El Británico y El Hipopótamo - Feria de Parque Lezama (fines de semana) - Museo Histórico Nacional","Brasil Av. 369, entre Defensa y Balcarce",San Telmo,Comuna 1,POINT (-58.37058140961701 -34.62539866675111)
