nro_registro;rubro;establecimiento;domicilio_completo;barrio;comuna;telefono;email;facebook;web;accesibilidad
RL-2017-25630894- -DGCCO;Restaurante;1893;SCALABRINI ORTIZ 701;VILLA CRESPO;15;4773-2951;restaurante1893@hotmail.com;https://www.facebook.com/1893Pizzeria/;NO TIENE;
16/G/2015;Restaurante;AL CARBÓN;RECONQUISTA 875;SAN NICOLAS;1;4312-5603/04;alcarbon@fibertel.com.ar;https://www.facebook.com/pages/Al-Carbon/213424022017448;NO TIENE;
RL-2017-04167920- -DGDYCOF;Restaurante;ALAMEDA RESTAURANTE;AV. DE MAYO 1201;MONSERRAT;1;4381-2859;consultas@alameda-restaurante.com.ar;https://www.facebook.com/alamedarest/;www.alameda-restaurante.com.ar;
RL-2018-18305233- -DGCCO;Restaurante;ALDO'S RESTORAN VINOTECA;MORENO 372;MONSERRAT;1;4343-0823;info@aldosvinoteca.com;https://www.facebook.com/AldosVinoteca/;www.aldosvinoteca.com;
RL-2017-26691981;Restaurante;ANASAGASTI;ANASAGASTI 2067;PALERMO;14;15-4412-2487;info@anasagasti.com.ar;https://www.facebook.com/anasagastibuenosaires/;http://www.anasagasti.com.ar/;
RL-2018-25706633--DGCCO;Restaurante;ANGUS;AVALOS 2184;VILLA URQUIZA;12;4524-5924;urquiza@angusparrilla.com.ar;https://www.facebook.com/AngusBrasas/;http://www.angusparrilla.com.ar/#/;
RL-2018-30008795--DGCCO;Restaurante;ANGUS;BAEZ 444;PALERMO;14;4774-4709;baez@angusparrilla.com.ar;https://www.facebook.com/AngusBrasas/;http://www.angusparrilla.com.ar;
RL-2017-22305599- -DGCCO;Heladería;ANTA HELADOS;JUAN B. JUSTO 6357;VILLA SANTA RITA;11;4674-2222;heladeriaanta@gmail.com;https://www.facebook.com/AntaHelados/;NO TIENE;
01/G/2015;Restaurante;ANTIGUA TASCA DE CUCHILLEROS;CARLOS CALVO 319;SAN TELMO;1;4300-5798;antiguatasca@hotmail.com;NO TIENE;www.antiguatasca.com.ar;
01-G-2011;Restaurante;ASADOR CRIOLLO LA ESTANCIA;LAVALLE 941;SAN NICOLÁS;1;4326-0025;info@asadorlaestancia.com.ar;NO TIENE;www.asadorlaestancia.com.ar;
RL-2018-02363267- -DGCCO;Restaurante;BAR BRITANICO;BRASIL 399;SAN TELMO;1;4361-2107;NO TIENE;NO TIENE;NO TIENE;
RL-2019-33405635- -DGTALET;Bar Notable;BAR DE CAO;INDEPENDENCIA 2400;SAN CRISTOBAL;3;4943-3694;baresnotables@gmail.com;https://www.facebook.com/BaresLosNotables;http://www.losnotables.com.ar/bar-de-cao/;
RL-2019-23719394- -DGTALET;Bar Notable;BAR EL COLONIAL;AV. BELGRANO 599;MONSERRAT;1;4331-9030;bar.elcolonial@yahoo.com.ar;NO TIENE;NO TIENE;
RL-2019-33432279- -DGTALET;Bar Notable;EL FEDERAL;CARLOS CALVO 599;SAN TELMO;1;4361-7328;baresnotables@gmail.com;https://www.facebook.com/BaresLosNotables;http://www.losnotables.com.ar/bar-el-federal/;
12/G/2015;Bar Notable;BAR LA ACADEMIA;AV. CALLAO 368;BALVANERA;3;4372-2765;bar_lacademia@hotmail.com;NO TIENE;NO TIENE;
RL-2017-26540593- -DGCCO;Bar Notable;BAR LAVALLE;LAVALLE 1693;SAN NICOLÁS;1;4371-5782;info@barlavalle.com.ar;NO TIENE;www.barlavalle.com.ar;
RL-2017-24098157- -DGCCO;Bar Notable;BAR PALACIO / Museo Fotográfico SIMIK;FRAGA 702;CHACARITA;15;4554-5529;alejandrosimik@gmail.com;https://www.facebook.com/MuseoSimik/;NO TIENE;
RL-2017-26335463- -DGCCO;Bar Notable;BAR QUINTINO;CARLOS CALVO 4002;BOEDO;5;4923-5237;NO TIENE;https://www.facebook.com/pg/bar.quintino/about/?ref=page_internal;NO TIENE;
RL-2018-22506566- -DGCCO;Bar Notable;BAR SEDDON;DEFENSA 695;SAN TELMO;1;4342-3700;juanseddon@hotmail.com;NO TIENE;NO TIENE;
RL-2019-27629085--DGTALET;Bar Notable;BAR SUR;ESTADOS UNIDOS 299;SAN TELMO;1;4362-6086;info@bar-sur.com.ar;NO TIENE;www.bar-sur.com.ar;
RL-2018-02974844- -DGCCO;Restaurante;BARBARO BAR;TRES SARGENTOS 415;RETIRO;1;4311-6856;reservas@barbarobar.com;https://www.facebook.com/BarbaroRetiro/;www.barbarobar.com;
RL-2017-18858898-DGCCO;Bar Temático;BARBERÍA LA ÉPOCA;GUAYAQUIL 877;CABALLITO;6;4903-7799;elcondedecaballito@yahoo.com.ar;https://www.facebook.com/BarberiaLaEpoca/;NO TIENE;
RL-2018-28680385- -DGCCO;Restaurante;BAUM SAN TELMO;PASAJE 5 DE JULIO 412;MONSERRAT;1;4342-4799;baumsantelmo@gmail.com;https://www.facebook.com/baumsantelmo/;http://cervezabaum.com/franquicias;
